状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<FTYPE>,<Program>,<S>,<call>,<if语句>,<relop>,<relop和加法表达式>,<return语句>,<while语句>,<下标数组>,<中括号和数字>,<乘除因子>,<内部变量声明>,<内部声明>,<函数声明>,<加减项>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参>,<实参列表>,<形参>,<数组声明>,<表达式>,<表达式循环>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<逗号和表达式>,<项>,
48, , , , , , , , , , , , , , , ,r31, , , , ,r31, , ,r31, ,r31, ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
49, ,s59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
50, ,s60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
51, ,s67, , , , , , ,s62, , , , , , ,s68, , , , , , ,s66, , , , , , , , , , , , , , , , , , , , , , ,63, , , ,65, , , , , , , ,61, , , , , , , ,64,
52, , , , , , , , , , , ,s69, , , , ,s70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
53, , , , , , , , , , , ,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
54, , , , , , , , , , , , , , , ,r20, , , ,s41,r20,s40, ,r20, ,r20, , , , , , , , , , , , , , , ,39,72, , , , , , , , , , , , , , , , , , , , , , , ,
55, , , , , , , , ,r22, , , , , , , ,s75, , , , , , , , , , , , , , , , , , , , , , ,74, , , , , , , , , , , , , , , , ,73, , , , , , , , , ,
56, , , , , , , , ,r23, , , , , , , ,s75, , , , , , , , , , , , , , , , , , , , , , ,74, , , , , , , , , , , , , , , , ,76, , , , , , , , , ,
57, , , , , , , , , , , , , , , , , , , ,r19, ,r19, , ,r19, , , ,r19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
58, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
59, ,s82, , , , , , , , , , , , , ,s83, , , , , , ,s81, , , , , , , , , , , , , , , , , , , , , , ,78, , , ,80, , , , , , , ,77, , , , , , , ,79,
60, ,s82, , , , , , , , , , , , , ,s83, , , , , , ,s81, , , , , , , , , , , , , , , , , , , , , , ,78, , , ,80, , , , , , , ,84, , , , , , , ,79,
61, , , , , , , , ,s85, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
62, , , , , , , , , , , , , , , ,r41, , , , ,r41, , ,r41, ,r41, ,r41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
63,s93, , , , , , , ,r46,s88,s89, ,s92,s90,s91, , , , , , , , , , , , , , , , , , , ,87,86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
